student_id,name,department,year,attendance_percent,cgpa,internal_marks_avg,assignment_submission_rate,backlogs,lms_engagement_score,socio_economic_proxy,dropout_risk_label
STU0066,William Miller,Business Admin,3,71.3,6.19,70.8,68.9,0,65.8,Low,Medium
STU0067,Charles Johnson,Computer Science,4,92.9,8.46,78.4,94.0,1,88.2,High,Low
STU0068,Emma Gonzalez,Civil Eng,2,85.9,8.49,92.4,94.4,0,77.1,Medium,Low
STU0069,Sarah Lopez,Data Science,4,81.8,7.7,67.4,80.7,0,70.8,Medium,Low
STU0070,Olivia Martin,Computer Science,3,97.6,10.0,98.3,95.9,1,87.8,Medium,Low
STU0071,Robert Miller,Civil Eng,3,82.4,8.2,79.1,73.5,0,84.5,Medium,Low
STU0072,John Smith,Data Science,2,69.7,6.87,60.6,65.3,1,60.2,Low,High
STU0073,Amelia Gonzalez,Electrical Eng,1,84.7,7.69,70.7,82.9,0,70.3,Medium,Low
STU0074,James Williams,Business Admin,1,80.2,7.71,73.1,71.6,0,61.1,High,Low
STU0075,David Garcia,Data Science,2,82.2,8.75,78.9,74.2,0,78.9,Medium,Low
STU0076,Jessica Rodriguez,Mechanical Eng,1,87.8,8.69,81.3,88.0,0,79.3,Medium,Low
STU0077,Michael Smith,Data Science,4,68.7,5.83,43.6,55.7,0,52.4,Medium,High
STU0078,Charles Martinez,Data Science,4,94.4,9.08,89.8,88.2,0,76.9,High,Low
STU0079,Olivia Anderson,Business Admin,3,76.3,7.58,78.1,89.9,0,73.9,Medium,Low
STU0080,James Martin,Mechanical Eng,1,88.6,9.36,91.2,86.2,1,75.6,Medium,Low
STU0081,Joseph Taylor,Civil Eng,1,79.1,7.82,85.6,75.8,0,70.6,Medium,Low
STU0082,Amelia Lopez,Civil Eng,1,77.0,7.43,74.0,74.6,0,73.3,Low,Medium
STU0083,David Johnson,Data Science,3,79.7,7.73,79.1,77.3,0,72.8,Low,Medium
STU0084,Alex Taylor,Mechanical Eng,3,71.1,6.35,66.5,75.1,0,62.9,Medium,Medium
STU0085,Michael Taylor,Mechanical Eng,4,81.2,7.62,58.6,84.7,0,67.5,Low,Medium
STU0086,Joseph Taylor,Business Admin,2,100.0,10.0,97.1,97.3,1,93.8,Medium,Low
STU0087,Jane Johnson,Electrical Eng,4,70.8,6.17,51.7,69.3,1,46.8,High,Medium
STU0088,Michael Smith,Civil Eng,4,66.0,6.39,54.8,75.2,0,66.8,Medium,Medium
STU0089,John Jackson,Business Admin,1,76.1,6.62,57.9,65.5,0,44.9,Medium,Medium
STU0090,Jane Lopez,Computer Science,4,82.6,7.67,71.3,82.2,0,75.7,Medium,Low
STU0091,Sarah Brown,Civil Eng,2,54.3,4.2,43.1,55.2,2,52.1,Medium,High
STU0092,Robert Taylor,Business Admin,1,56.8,5.25,52.0,51.3,1,47.9,Low,High
STU0093,Sarah Jones,Civil Eng,2,84.5,7.95,75.5,83.6,0,68.9,Medium,Low
STU0094,Amelia Johnson,Electrical Eng,1,71.3,5.05,51.6,64.9,1,48.5,Medium,High
STU0095,Sarah Hernandez,Computer Science,2,52.9,4.85,50.0,57.4,1,54.8,Medium,High
STU0096,Isabella Thomas,Electrical Eng,2,57.8,5.47,54.2,48.5,1,58.7,Medium,High
STU0097,John Rodriguez,Computer Science,2,75.5,6.37,51.9,83.0,0,51.0,Medium,Medium
STU0098,Sarah Thomas,Data Science,2,88.7,8.8,79.9,88.2,0,86.4,Medium,Low
STU0099,Alex Martin,Business Admin,2,95.0,8.82,83.9,91.8,1,97.9,Medium,Low
STU0100,Emily Jackson,Computer Science,2,100.0,10.0,98.7,93.0,0,100.0,Low,Low
STU0101,Alex Jackson,Electrical Eng,2,100.0,10.0,88.4,100.0,0,94.2,Medium,Low
STU0102,Amelia Miller,Civil Eng,2,89.5,9.01,85.5,84.9,0,99.9,Low,Low
STU0103,Amelia Rodriguez,Computer Science,1,90.1,9.17,79.2,82.0,2,86.1,Low,Medium
STU0104,John Davis,Business Admin,2,86.9,7.93,80.5,94.2,2,73.8,Low,Medium
STU0105,David Moore,Computer Science,1,87.2,8.59,82.8,80.9,1,79.8,Medium,Low
STU0106,Jessica Smith,Mechanical Eng,2,100.0,10.0,88.3,99.3,0,100.0,Medium,Low
STU0107,Robert Moore,Civil Eng,3,85.2,7.63,65.7,91.0,0,72.9,Medium,Low
STU0108,Emma Williams,Business Admin,2,91.4,9.66,93.7,92.5,0,88.8,Medium,Low
STU0109,David Thomas,Business Admin,2,76.8,6.61,69.7,88.9,0,63.6,Medium,Medium
STU0110,Isabella Martin,Data Science,4,73.8,5.67,48.4,67.9,0,57.0,Low,High
STU0111,Joseph Johnson,Electrical Eng,3,82.0,7.67,76.8,80.5,0,71.3,High,Low
STU0112,John Thomas,Data Science,4,88.2,8.34,76.5,87.3,0,69.9,Medium,Low
STU0113,Olivia Jones,Business Admin,3,66.0,5.6,57.4,70.3,0,51.9,Medium,Medium
STU0114,Michael Rodriguez,Civil Eng,1,100.0,10.0,98.4,100.0,0,100.0,Medium,Low
STU0115,James Williams,Computer Science,1,81.2,7.69,73.8,81.7,0,66.8,Low,Medium
STU0116,Charles Thomas,Computer Science,2,68.3,7.16,58.8,67.4,1,63.4,Medium,Medium
STU0117,Isabella Williams,Civil Eng,1,91.3,8.02,79.6,81.0,0,79.0,Medium,Low
STU0118,Amelia Smith,Business Admin,2,78.0,7.18,70.7,78.8,0,82.0,High,Low
STU0119,Amelia Hernandez,Computer Science,2,83.5,7.95,77.6,78.9,0,73.3,Low,Medium
STU0120,Joseph Davis,Computer Science,2,64.5,5.11,49.5,68.8,1,49.7,Medium,High
STU0121,Emily Garcia,Computer Science,3,100.0,9.33,84.2,97.1,0,91.3,Medium,Low
STU0122,Jessica Martin,Electrical Eng,3,97.7,10.0,100.0,96.0,0,73.5,Low,Low
STU0123,Alex Thomas,Electrical Eng,2,94.4,9.31,92.9,84.2,0,82.9,Medium,Low
STU0124,Alex Moore,Mechanical Eng,3,85.0,7.14,62.5,72.3,0,81.0,Medium,Medium
STU0125,Sophia Moore,Data Science,2,85.9,9.1,93.1,98.9,2,86.8,High,Low
STU0126,Jane Williams,Civil Eng,4,70.9,5.95,57.2,71.8,1,63.7,Medium,Medium
STU0127,Isabella Rodriguez,Civil Eng,1,98.1,8.92,85.4,100.0,0,81.1,Medium,Low
STU0128,Emily Smith,Civil Eng,4,86.8,7.86,73.8,80.4,0,57.8,High,Low
STU0129,Emily Smith,Mechanical Eng,3,75.5,6.58,62.2,81.6,1,54.9,High,Medium
STU0130,Sophia Thomas,Electrical Eng,2,94.1,8.65,89.1,98.9,0,76.0,Low,Low
STU0131,Amelia Davis,Business Admin,1,94.9,8.63,87.2,89.3,0,88.6,Medium,Low
STU0132,David Williams,Business Admin,2,75.3,7.46,75.9,67.9,0,68.1,Medium,Medium
STU0133,Joseph Smith,Mechanical Eng,1,85.5,8.03,77.2,80.3,1,90.1,High,Low
STU0134,Isabella Lopez,Business Admin,1,80.4,6.57,66.8,80.2,1,66.3,Medium,Medium
STU0135,Charles Wilson,Civil Eng,2,100.0,9.78,88.8,100.0,0,100.0,Low,Low
STU0136,Sarah Garcia,Data Science,2,66.7,5.65,56.6,67.0,1,49.2,Medium,High
STU0137,William Jackson,Computer Science,3,68.5,6.35,59.6,77.6,2,63.3,Medium,High
STU0138,Jessica Johnson,Electrical Eng,4,77.6,7.33,59.4,72.6,0,67.1,High,Medium
STU0139,John Anderson,Electrical Eng,2,97.7,8.97,77.3,90.1,0,89.3,High,Low
STU0140,John Jones,Mechanical Eng,2,100.0,9.71,89.0,100.0,0,80.3,Medium,Low
STU0141,Isabella Jackson,Electrical Eng,1,82.9,7.53,73.6,71.0,0,79.7,Low,Medium
STU0142,Emily Williams,Civil Eng,3,90.1,8.57,78.1,94.9,1,75.3,Medium,Low
STU0143,Joseph Taylor,Business Admin,2,57.5,4.46,39.4,58.2,2,29.1,Low,High
STU0144,Olivia Wilson,Civil Eng,4,73.0,6.02,61.0,70.6,0,75.5,Low,Medium
STU0145,Sarah Williams,Mechanical Eng,3,67.5,7.08,64.5,64.8,1,63.1,High,Medium
STU0146,James Jones,Civil Eng,2,85.3,9.3,95.0,91.7,0,80.2,Low,Low
STU0147,Joseph Wilson,Business Admin,1,96.0,8.33,85.0,100.0,0,78.5,Medium,Low
STU0148,Alex Smith,Data Science,4,77.2,7.75,73.8,75.5,0,68.2,High,Low
STU0149,Amelia Smith,Mechanical Eng,3,81.8,8.32,82.8,85.9,0,74.3,Medium,Low
STU0150,Alex Moore,Data Science,1,100.0,10.0,98.1,100.0,0,99.9,Medium,Low
STU0151,Emma Williams,Computer Science,1,85.1,8.0,74.8,87.5,0,72.6,High,Low
STU0152,Jessica Wilson,Data Science,3,65.5,4.87,50.6,64.1,1,52.3,Low,High
STU0153,Mia Anderson,Computer Science,1,87.1,8.22,83.1,89.7,0,86.3,Medium,Low
STU0154,Jane Martinez,Computer Science,4,80.7,7.84,69.7,73.4,0,81.4,High,Low
STU0155,Jane Taylor,Data Science,2,88.1,9.0,86.2,88.5,0,68.9,High,Low
STU0156,Jessica Smith,Mechanical Eng,1,79.3,6.09,58.6,77.6,0,63.3,Medium,Medium
STU0157,James Hernandez,Business Admin,3,76.1,6.13,62.5,73.4,0,49.6,Medium,Medium
STU0158,Isabella Miller,Civil Eng,2,72.1,7.34,67.6,60.1,0,84.1,Medium,Medium
STU0159,Emma Williams,Civil Eng,2,78.1,6.9,62.5,70.9,0,64.2,High,Medium
STU0160,Mia Gonzalez,Business Admin,1,79.8,7.31,70.3,76.4,0,62.5,High,Low
STU0161,David Brown,Computer Science,1,93.1,10.0,100.0,99.4,0,98.6,Medium,Low
STU0162,William Martin,Computer Science,2,69.7,5.47,45.9,71.7,2,46.2,Low,High
STU0163,John Davis,Mechanical Eng,2,76.4,7.34,64.6,82.9,0,71.5,Low,Medium
STU0164,Sophia Thomas,Electrical Eng,2,63.7,5.38,48.5,72.4,1,76.8,Low,High
STU0165,Sophia Lopez,Data Science,3,53.2,4.09,37.2,55.5,2,37.4,Medium,High
STU0166,Charles Anderson,Computer Science,2,86.9,7.82,65.5,87.9,1,67.6,Medium,Medium
STU0167,Jane Johnson,Civil Eng,1,80.0,6.54,69.6,73.2,0,69.5,High,Medium
STU0168,Charles Taylor,Mechanical Eng,2,81.4,7.9,74.4,95.3,0,86.6,Medium,Low
STU0169,Amelia Martinez,Data Science,4,73.9,7.27,67.6,63.9,0,72.0,Low,Medium
STU0170,Sarah Anderson,Mechanical Eng,3,67.2,5.84,63.6,68.0,0,48.3,Medium,Medium
STU0171,Robert Jones,Data Science,2,70.7,6.57,66.0,76.5,1,58.5,Medium,Medium
STU0172,John Davis,Data Science,1,95.3,9.4,86.6,100.0,0,77.9,Medium,Low
STU0173,Olivia Lopez,Business Admin,1,71.5,5.47,52.8,63.4,1,43.9,Medium,High
STU0174,Michael Miller,Computer Science,3,98.8,10.0,94.8,95.9,0,92.3,High,Low
STU0175,Emily Garcia,Mechanical Eng,4,100.0,9.24,95.0,94.4,0,80.7,High,Low
STU0176,William Martin,Mechanical Eng,3,72.4,6.92,64.9,58.6,0,69.9,Medium,Medium
STU0177,Daniel Williams,Business Admin,3,66.9,6.16,51.3,67.8,0,60.6,Low,High
STU0178,Jessica Martin,Civil Eng,3,85.7,8.39,70.3,80.6,0,79.5,Medium,Low
STU0179,Isabella Gonzalez,Civil Eng,1,74.4,7.19,75.7,84.9,0,67.7,Low,Medium
STU0180,Mia Martinez,Computer Science,2,56.0,5.02,43.7,60.3,1,43.5,Medium,High
STU0181,Charles Taylor,Computer Science,1,87.8,8.24,81.6,88.1,2,95.0,Low,Medium
STU0182,Charles Jones,Electrical Eng,1,85.1,8.34,79.6,81.8,0,79.3,Medium,Low
STU0183,James Lopez,Business Admin,4,88.3,8.56,79.3,89.1,1,74.6,Low,Medium
STU0184,John Smith,Civil Eng,2,87.1,8.03,74.9,85.3,0,89.8,Medium,Low
STU0185,Daniel Johnson,Data Science,2,81.0,6.88,73.3,81.5,1,56.7,High,Medium
STU0186,Isabella Davis,Mechanical Eng,1,97.0,8.84,76.7,100.0,0,81.2,Low,Low
STU0187,William Smith,Computer Science,1,83.7,9.23,85.7,76.2,0,100.0,Low,Low
STU0188,Isabella Miller,Mechanical Eng,1,92.7,8.46,84.9,91.6,0,76.3,Medium,Low
STU0189,Michael Williams,Mechanical Eng,1,84.5,7.58,65.6,89.4,0,76.5,High,Low
STU0190,Olivia Thomas,Electrical Eng,2,73.9,5.72,60.9,71.1,0,56.0,Low,Medium
STU0191,Charles Jones,Civil Eng,1,78.2,6.94,70.4,89.2,0,59.2,Medium,Medium
STU0192,Sophia Jones,Computer Science,2,95.6,8.73,84.2,100.0,0,76.8,Low,Low
STU0193,Daniel Taylor,Mechanical Eng,1,74.3,6.54,59.6,69.3,0,58.4,Medium,Medium
STU0194,Sophia Martin,Computer Science,1,61.2,4.72,37.8,62.6,1,61.0,Medium,High
STU0195,Michael Lopez,Data Science,1,100.0,10.0,98.5,95.1,0,100.0,Medium,Low
STU0196,Isabella Thomas,Electrical Eng,2,58.9,4.98,61.0,53.3,1,58.6,High,High
STU0197,David Brown,Data Science,3,100.0,10.0,95.7,99.0,0,100.0,Low,Low
STU0198,John Jones,Computer Science,2,63.2,6.85,56.0,72.0,0,59.3,High,Medium
STU0199,Emma Jones,Computer Science,2,79.2,7.69,75.4,84.4,0,57.2,Low,Medium
STU0200,Emily Johnson,Civil Eng,3,78.7,6.45,65.6,78.5,2,65.1,High,Medium
STU0201,Amelia Martinez,Mechanical Eng,1,89.9,7.86,70.1,95.3,0,95.3,Medium,Low
STU0202,Charles Smith,Mechanical Eng,1,71.4,5.81,52.0,73.2,1,41.3,High,Medium
STU0203,Michael Gonzalez,Data Science,3,56.6,4.76,41.5,48.4,1,46.5,Low,High
STU0204,Emily Thomas,Electrical Eng,2,100.0,9.78,90.2,99.0,0,83.1,Low,Low
STU0205,Isabella Johnson,Business Admin,1,66.0,6.34,59.3,65.4,1,53.5,Medium,High
STU0206,Joseph Martin,Mechanical Eng,4,93.8,8.23,73.9,99.1,0,83.3,Medium,Low
STU0207,Olivia Moore,Civil Eng,3,68.1,6.25,53.2,64.2,0,39.9,Low,High
STU0208,Alex Smith,Data Science,1,87.4,8.44,81.0,81.0,0,80.5,Medium,Low
STU0209,John Jackson,Data Science,2,87.3,9.41,88.5,87.0,0,88.6,Low,Low
STU0210,Robert Jones,Business Admin,2,72.4,6.39,58.5,67.9,0,66.9,Medium,Medium
STU0211,Olivia Williams,Civil Eng,2,57.9,4.42,42.4,55.6,2,39.7,High,High
STU0212,John Smith,Electrical Eng,2,100.0,10.0,87.4,99.4,0,100.0,Medium,Low
STU0213,Jessica Martinez,Civil Eng,1,98.9,9.2,88.7,96.2,0,81.7,Low,Low
STU0214,Robert Lopez,Electrical Eng,2,84.5,6.89,63.4,91.2,0,52.0,Medium,Medium
STU0215,William Lopez,Civil Eng,2,83.6,7.43,71.8,93.5,0,54.8,Low,Medium
STU0216,Sophia Johnson,Civil Eng,3,63.9,5.69,56.0,69.9,1,38.1,High,High
STU0217,Charles Moore,Computer Science,3,95.5,9.41,95.1,83.1,0,96.4,Low,Low
STU0218,Alex Taylor,Data Science,1,77.3,6.46,61.9,72.8,0,82.4,Medium,Medium
STU0219,Jessica Martinez,Civil Eng,2,65.6,5.61,58.6,64.3,1,52.2,High,High
STU0220,Jane Jackson,Business Admin,1,90.7,8.29,77.1,77.8,0,86.6,High,Low
STU0221,James Miller,Civil Eng,2,82.1,6.55,60.9,75.9,0,66.2,Medium,Medium
STU0222,Emily Moore,Mechanical Eng,3,79.0,6.6,62.3,77.6,0,50.4,High,Medium
STU0223,William Hernandez,Data Science,1,82.3,6.27,63.4,79.2,0,73.7,High,Medium
STU0224,Emily Brown,Mechanical Eng,2,83.7,7.49,74.3,83.7,0,67.5,Medium,Low
STU0225,Emma Jones,Data Science,1,70.2,5.09,49.0,60.5,1,45.6,Medium,High
STU0226,James Williams,Mechanical Eng,1,100.0,10.0,88.9,96.8,0,89.1,Medium,Low
STU0227,Joseph Williams,Civil Eng,2,87.4,8.82,86.9,88.5,0,78.9,Medium,Low
STU0228,Isabella Brown,Civil Eng,2,73.0,6.82,60.5,73.0,0,69.8,Medium,Medium
STU0229,Mia Taylor,Computer Science,4,65.3,6.29,55.2,68.5,1,51.1,Medium,High
STU0230,David Jones,Business Admin,2,74.5,7.68,67.2,77.3,0,75.8,Low,Medium
STU0231,Olivia Taylor,Mechanical Eng,1,83.9,9.14,86.4,81.0,0,90.5,Low,Low
STU0232,William Williams,Electrical Eng,2,90.2,9.07,92.2,91.0,0,83.9,Low,Low
STU0233,James Taylor,Computer Science,1,87.7,8.9,79.7,82.1,1,100.0,Medium,Low
STU0234,Joseph Martin,Mechanical Eng,4,70.3,6.43,69.5,68.4,0,73.1,Low,Medium
STU0235,Isabella Gonzalez,Mechanical Eng,2,48.4,4.0,42.5,41.0,2,34.7,Medium,High
STU0236,Charles Taylor,Computer Science,3,95.9,9.67,84.6,100.0,0,89.2,Medium,Low
STU0237,Emily Lopez,Civil Eng,1,80.1,7.24,66.9,78.2,0,70.3,High,Low
STU0238,James Jackson,Mechanical Eng,2,94.8,8.58,76.3,100.0,0,84.2,Low,Low
STU0239,Olivia Rodriguez,Civil Eng,2,100.0,9.91,97.5,100.0,0,95.1,Low,Low
STU0240,David Wilson,Computer Science,3,100.0,10.0,90.1,93.8,0,100.0,Medium,Low
STU0241,Amelia Jackson,Civil Eng,1,72.6,6.88,57.2,74.4,0,41.0,Medium,Medium
STU0242,Daniel Thomas,Data Science,1,89.7,8.68,80.9,95.3,0,77.8,Low,Low
STU0243,Michael Williams,Electrical Eng,4,98.2,9.9,99.9,97.7,0,98.8,High,Low
STU0244,Olivia Martin,Mechanical Eng,2,70.7,6.23,58.2,71.2,0,48.0,High,Medium
STU0245,Emily Thomas,Business Admin,2,80.3,6.8,66.6,76.5,0,66.1,Medium,Medium
STU0246,David Gonzalez,Electrical Eng,1,68.6,6.04,59.6,68.8,0,56.4,Medium,Medium
STU0247,Emma Miller,Civil Eng,4,89.8,7.26,61.4,91.4,0,66.6,High,Low
STU0248,Sophia Jones,Mechanical Eng,1,75.9,7.32,65.0,71.9,0,77.2,Medium,Medium
STU0249,Alex Hernandez,Civil Eng,3,66.8,6.02,57.2,59.2,0,53.2,Medium,Medium
STU0250,Robert Moore,Data Science,3,71.7,6.18,55.9,80.7,0,47.6,High,Medium
STU0251,Daniel Lopez,Computer Science,1,87.9,9.16,95.5,92.1,0,96.6,Medium,Low
STU0252,James Martinez,Mechanical Eng,3,100.0,9.44,83.5,96.2,0,88.9,Medium,Low
STU0253,Olivia Taylor,Data Science,1,95.6,10.0,90.5,97.2,0,100.0,Medium,Low
STU0254,Sarah Miller,Data Science,1,75.8,6.4,62.3,65.4,0,50.0,Medium,Medium
STU0255,Sophia Gonzalez,Mechanical Eng,3,83.1,9.01,82.5,69.3,0,70.7,Medium,Low
STU0256,Jessica Martinez,Civil Eng,4,86.9,8.16,63.1,94.5,0,66.2,Medium,Low
STU0257,James Moore,Business Admin,2,69.3,6.97,75.9,70.9,0,57.6,Medium,Medium
STU0258,Jane Jones,Data Science,2,92.3,8.3,73.5,91.9,0,69.8,Low,Low
STU0259,Michael Garcia,Electrical Eng,1,70.5,7.4,73.1,72.1,0,63.7,Medium,Medium
STU0260,Charles Davis,Data Science,1,65.3,6.53,55.8,87.8,0,67.8,Medium,Medium
STU0261,Isabella Gonzalez,Business Admin,1,64.1,5.64,49.3,70.2,1,42.2,Medium,High
STU0262,John Martin,Civil Eng,1,74.9,7.37,61.9,67.5,0,56.5,Low,Medium
STU0263,Joseph Miller,Civil Eng,1,87.5,7.79,70.3,75.7,0,68.3,High,Low
STU0264,William Brown,Electrical Eng,2,100.0,10.0,91.8,100.0,0,84.2,Low,Low
STU0265,Emily Garcia,Data Science,1,85.3,6.93,65.1,91.3,0,41.5,High,Low
STU0266,Charles Lopez,Civil Eng,1,71.9,6.57,60.5,75.9,0,53.7,Low,Medium
STU0267,David Martinez,Business Admin,2,99.4,9.57,83.7,93.7,0,89.0,Medium,Low
STU0268,Charles Miller,Mechanical Eng,3,66.8,6.51,59.3,69.4,0,59.8,Low,Medium
STU0269,Alex Gonzalez,Computer Science,1,60.0,4.93,54.0,55.0,1,35.7,High,High
STU0270,William Moore,Computer Science,4,82.7,8.05,83.2,87.3,0,78.5,Medium,Low
STU0271,Amelia Davis,Computer Science,4,75.1,7.75,75.9,82.0,0,84.5,Low,Medium
STU0272,James Miller,Data Science,1,100.0,10.0,98.3,96.2,0,97.8,Medium,Low
STU0273,John Williams,Electrical Eng,3,91.3,8.87,94.5,99.2,0,88.3,Low,Low
STU0274,William Taylor,Civil Eng,2,74.2,7.94,78.3,75.0,0,70.7,Low,Medium
STU0275,John Garcia,Mechanical Eng,2,64.7,6.0,60.2,68.2,1,56.4,High,Medium
STU0276,Sarah Lopez,Business Admin,2,83.3,7.77,66.0,74.1,0,72.2,Medium,Low
STU0277,William Gonzalez,Mechanical Eng,2,94.4,8.99,79.8,96.0,0,91.2,Medium,Low
